1	2	6	3.5	1.2857
2	6	10.786	3.5	1.9107
3	3	16.196	3.5	4.6429
4	6	24.339	3.5	1.5179
5	2	29.357	3.5	1.1429
6	3	34	3.5	1.9286
7	6	39.429	3.5	1.3929
8	2	44.321	3.5	1.4107
9	2	49.232	3.5	2.9821
10	5	55.714	3.5	1.125
11	5	60.339	3.5	1.2143
12	2	65.054	3.5	1.6964
13	2	70.25	3.5	1.625
14	4	75.375	3.5	1.6964
15	1	80.571	3.5	1.5893
16	5	85.661	3.5	1.4643
17	1	90.625	3.5	5.0714
18	4	99.196	3.5	1.6964
19	5	104.39	3.5	1.875
20	2	109.77	3.5	1.4286
21	6	114.7	3.5	2
22	2	120.2	3.5	2.0536
23	1	125.75	3.5	4.0714
24	2	133.32	3.5	1.8393
25	6	138.66	3.5	1.8036
26	5	143.96	3.5	1.25
27	5	148.71	3.5	1.5536
28	5	153.77	3.5	1.6607
29	4	158.93	3.5	1.7857
30	2	164.21	3.5	1.4643
31	4	169.18	3.5	1.5
32	6	174.18	3.5	3.8393
33	3	181.52	3.5	1.4286
34	3	186.45	3.5	3.2857
35	3	193.23	3.5	1.0357
36	5	197.77	3.5	1.5179
37	1	202.79	3.5	2.5536
38	3	208.84	3.5	2.3571
39	1	214.7	3.5	1.6964
40	1	219.89	3.5	1.4286
41	2	224.82	3.5	1.6429
42	4	229.96	3.5	1.1786
43	4	234.64	3.5	1.9286
44	6	240.07	3.5	1.1071
45	1	244.68	3.5	1.0536
46	1	249.23	3.5	1.6071
47	5	254.34	3.5	1.8036
48	1	259.64	3.5	1.5714
49	2	264.71	3.5	1.9286
50	6	270.14	3.5	1.5357
51	4	275.18	3.5	1.5536
52	4	280.23	3.5	3.25
53	5	286.98	3.5	1.4107
54	1	291.89	3.5	1.9821
55	4	297.37	3.5	1.0714
56	2	301.95	3.5	1.8214
57	6	307.27	3.5	1.4464
58	6	312.21	3.5	4.75
59	3	320.46	3.5	1.3393
60	6	325.3	3.5	1.4464
61	6	330.25	3.5	1.7679
62	2	335.52	3.5	1.1071
63	1	340.12	3.5	5.7857
64	6	349.41	3.5	1.4107
65	6	354.32	3.5	1.3036
66	3	359.12	3.5	1.8214
67	3	364.45	3.5	1.8393
68	5	369.79	3.5	1.1607
69	5	374.45	3.5	1.75
70	5	379.7	3.5	5.1429
71	4	388.34	3.5	1.625
72	4	393.46	3.5	1.6786
73	5	398.64	3.5	1.4286
74	1	403.57	3.5	2.6964
75	6	409.77	3.5	1.6071
76	5	414.87	3.5	2.2143
77	4	420.59	3.5	1.0893
78	1	425.18	3.5	1.75
79	3	430.43	3.5	1.5179
80	5	435.45	3.5	1.5179
81	2	440.46	3.5	1.7857
82	2	445.75	3.5	2.9464
83	5	452.2	3.5	4.125
84	6	459.82	3.5	2.4286
85	2	465.75	3.5	5.1071
86	1	474.36	3.5	1.9821
87	3	479.84	3.5	3.6429
88	1	486.98	3.5	1.4107
89	1	491.89	3.5	1.0893
90	5	496.48	3.5	2.5
91	4	502.48	3.5	1.1071
92	4	507.09	3.5	1.3393
93	4	511.93	3.5	1.25
94	3	516.68	3.5	5.75
95	6	525.93	3.5	5.1607
96	3	534.59	3.5	4.5536
97	6	542.64	3.5	2.9107
98	1	549.05	3.5	1.1607
99	1	553.71	3.5	1.3214
100	3	558.54	3.5	1.6607
101	1	563.7	3.5	1.9643
102	4	569.16	3.5	1.8036
103	2	574.46	3.5	1.3929
104	3	579.36	3.5	1.2857
105	2	584.14	3.5	1.2679
106	2	588.91	3.5	1.1964
107	2	593.61	3.5	3.6964
108	4	600.8	3.5	1.3571
109	4	605.66	3.5	1.9821
110	5	611.14	3.5	2.6071
111	1	617.25	3.5	1.0536
112	1	621.8	3.5	1.0893
113	6	626.39	3.5	1.7679
114	4	631.66	3.5	1.8393
115	6	637	3.5	1.1071
116	1	641.61	3.5	4.7321
117	4	649.84	3.5	1.9821
118	2	655.32	3.5	1.6429
119	2	660.46	3.5	1.4821
120	5	665.45	3.5	2.4821
121	3	671.43	3.5	1
122	4	675.93	3.5	1.5357
123	4	680.96	3.5	1.3036
124	6	685.77	3.5	2.625
125	4	691.89	3.5	1.9821
126	1	697.38	3.5	5.0714
127	1	705.95	3.5	1.2857
128	6	710.73	3.5	1.4464
129	6	715.68	3.5	1.9107
130	2	721.09	3.5	1.75
131	3	726.34	3.5	2.3571
132	3	732.2	3.5	1.2321
133	5	736.93	3.5	1.1964
134	6	741.63	3.5	1.8214
135	5	746.95	3.5	1.1786
136	3	751.63	3.5	1.3036
137	4	756.43	3.5	1.7857
138	1	761.71	3.5	1.7857
139	4	767	3.5	1.4107
140	4	771.91	3.5	1.1964
141	5	776.61	3.5	1.7143
142	6	781.82	3.5	1.0893
143	6	786.41	3.5	1.3929
144	1	791.3	3.5	2
145	3	796.8	3.5	1.2321
146	2	801.54	3.5	1.0893
147	6	806.13	3.5	5.75
148	3	815.38	3.5	1.125
149	1	820	3.5	1.4286
150	6	824.93	3.5	1
151	3	829.43	3.5	2.5179
152	3	835.45	3.5	1.625
153	4	840.57	3.5	1.5179
154	4	845.59	3.5	1.5179
155	3	850.61	3.5	1.4286
156	1	855.54	3.5	1.6786
157	4	860.71	3.5	1.625
158	5	865.84	3.5	1.5893
159	1	870.93	3.5	1.9286
160	2	876.36	3.5	1.6786
161	5	881.54	3.5	1.4643
162	1	886.5	3.5	1.3393
163	5	891.34	3.5	3.4107
164	5	898.25	3.5	2.0357
